state_name,votes,year,party
Georgia,2461854.0,2020,gop
Hawaii,196864.0,2020,gop
Idaho,554118.0,2020,gop
Illinois,2446891.0,2020,gop
Indiana,1729852.0,2020,gop
Iowa,897672.0,2020,gop
Kansas,758100.0,2020,gop
Kentucky,1326646.0,2020,gop
Louisiana,1255776.0,2020,gop
Maine,359899.0,2020,gop
Maryland,976414.0,2020,gop
Massachusetts,1167202.0,2020,gop
Michigan,2649852.0,2020,gop
Minnesota,1484065.0,2020,gop
Mississippi,756764.0,2020,gop
Missouri,1718736.0,2020,gop
Montana,343602.0,2020,gop
Nebraska,556846.0,2020,gop
Nevada,669890.0,2020,gop
New Hampshire,365654.0,2020,gop
New Jersey,1883274.0,2020,gop
New Mexico,401894.0,2020,gop
New York,3250230.0,2020,gop
North Carolina,2758773.0,2020,gop
North Dakota,235595.0,2020,gop
Ohio,3154834.0,2020,gop
Oklahoma,1020280.0,2020,gop
Oregon,958448.0,2020,gop
Pennsylvania,3378263.0,2020,gop
Rhode Island,199837.0,2020,gop
South Carolina,1385103.0,2020,gop
South Dakota,261043.0,2020,gop
Tennessee,1852475.0,2020,gop
Texas,5890347.0,2020,gop
Utah,865140.0,2020,gop
Vermont,112704.0,2020,gop
Virginia,1962430.0,2020,gop
Washington,1584651.0,2020,gop
West Virginia,545382.0,2020,gop
Wisconsin,1610065.0,2020,gop
Wyoming,193559.0,2020,gop
Alabama,1462616.0,2024,gop
Alaska,184407.0,2024,gop
Arizona,1770242.0,2024,gop
Arkansas,759241.0,2024,gop
California,6081697.0,2024,gop
Colorado,1377441.0,2024,gop
Connecticut,736918.0,2024,gop
Delaware,214351.0,2024,gop
District of Columbia,21076.0,2024,gop
Florida,6110125.0,2024,gop
Georgia,2663117.0,2024,gop
Hawaii,193661.0,2024,gop
Idaho,605246.0,2024,gop
Illinois,2449079.0,2024,gop
Indiana,1720347.0,2024,gop
Iowa,927019.0,2024,gop
Kansas,758802.0,2024,gop
Kentucky,1337494.0,2024,gop
Louisiana,1208505.0,2024,gop
Maine,377977.0,2024,gop
Maryland,1035550.0,2024,gop
Massachusetts,1251308.0,2024,gop
Michigan,2816636.0,2024,gop
Minnesota,1519032.0,2024,gop
Mississippi,747744.0,2024,gop
Missouri,1751986.0,2024,gop
Montana,352079.0,2024,gop
Nebraska,564816.0,2024,gop
Nevada,751205.0,2024,gop
New Hampshire,395578.0,2024,gop
New Jersey,1968215.0,2024,gop
New Mexico,423391.0,2024,gop
New York,3578899.0,2024,gop
North Carolina,2898423.0,2024,gop
North Dakota,246505.0,2024,gop
